"File","Status","ExitCode","PromptDirectory","WorkingDirectory","ResultFile","LogFile","Seconds"
"work20.md","Success","0","C:\src\incursa\quic-dotnet\specs\codex_work\","C:\src\incursa\quic-dotnet","C:\src\incursa\quic-dotnet\specs\codex_work\results\work20.output.md","C:\src\incursa\quic-dotnet\specs\codex_work\logs\work20.log.txt","467.18"
"work21.md","Success","0","C:\src\incursa\quic-dotnet\specs\codex_work\","C:\src\incursa\quic-dotnet","C:\src\incursa\quic-dotnet\specs\codex_work\results\work21.output.md","C:\src\incursa\quic-dotnet\specs\codex_work\logs\work21.log.txt","283.26"
"work22.md","Success","0","C:\src\incursa\quic-dotnet\specs\codex_work\","C:\src\incursa\quic-dotnet","C:\src\incursa\quic-dotnet\specs\codex_work\results\work22.output.md","C:\src\incursa\quic-dotnet\specs\codex_work\logs\work22.log.txt","966.25"
"work23.md","Success","0","C:\src\incursa\quic-dotnet\specs\codex_work\","C:\src\incursa\quic-dotnet","C:\src\incursa\quic-dotnet\specs\codex_work\results\work23.output.md","C:\src\incursa\quic-dotnet\specs\codex_work\logs\work23.log.txt","446.54"
"work24.md","Success","0","C:\src\incursa\quic-dotnet\specs\codex_work\","C:\src\incursa\quic-dotnet","C:\src\incursa\quic-dotnet\specs\codex_work\results\work24.output.md","C:\src\incursa\quic-dotnet\specs\codex_work\logs\work24.log.txt","275.82"
"work25.md","Success","0","C:\src\incursa\quic-dotnet\specs\codex_work\","C:\src\incursa\quic-dotnet","C:\src\incursa\quic-dotnet\specs\codex_work\results\work25.output.md","C:\src\incursa\quic-dotnet\specs\codex_work\logs\work25.log.txt","427.58"
"work26.md","Success","0","C:\src\incursa\quic-dotnet\specs\codex_work\","C:\src\incursa\quic-dotnet","C:\src\incursa\quic-dotnet\specs\codex_work\results\work26.output.md","C:\src\incursa\quic-dotnet\specs\codex_work\logs\work26.log.txt","187.3"
"work27.md","Success","0","C:\src\incursa\quic-dotnet\specs\codex_work\","C:\src\incursa\quic-dotnet","C:\src\incursa\quic-dotnet\specs\codex_work\results\work27.output.md","C:\src\incursa\quic-dotnet\specs\codex_work\logs\work27.log.txt","369.27"
"work28.md","Success","0","C:\src\incursa\quic-dotnet\specs\codex_work\","C:\src\incursa\quic-dotnet","C:\src\incursa\quic-dotnet\specs\codex_work\results\work28.output.md","C:\src\incursa\quic-dotnet\specs\codex_work\logs\work28.log.txt","180.54"
"work29.md","Success","0","C:\src\incursa\quic-dotnet\specs\codex_work\","C:\src\incursa\quic-dotnet","C:\src\incursa\quic-dotnet\specs\codex_work\results\work29.output.md","C:\src\incursa\quic-dotnet\specs\codex_work\logs\work29.log.txt","854.2"
"work30.md","Success","0","C:\src\incursa\quic-dotnet\specs\codex_work\","C:\src\incursa\quic-dotnet","C:\src\incursa\quic-dotnet\specs\codex_work\results\work30.output.md","C:\src\incursa\quic-dotnet\specs\codex_work\logs\work30.log.txt","411.14"
"work31.md","Success","0","C:\src\incursa\quic-dotnet\specs\codex_work\","C:\src\incursa\quic-dotnet","C:\src\incursa\quic-dotnet\specs\codex_work\results\work31.output.md","C:\src\incursa\quic-dotnet\specs\codex_work\logs\work31.log.txt","693.83"
"work32.md","Success","0","C:\src\incursa\quic-dotnet\specs\codex_work\","C:\src\incursa\quic-dotnet","C:\src\incursa\quic-dotnet\specs\codex_work\results\work32.output.md","C:\src\incursa\quic-dotnet\specs\codex_work\logs\work32.log.txt","134.61"
"work33.md","Success","0","C:\src\incursa\quic-dotnet\specs\codex_work\","C:\src\incursa\quic-dotnet","C:\src\incursa\quic-dotnet\specs\codex_work\results\work33.output.md","C:\src\incursa\quic-dotnet\specs\codex_work\logs\work33.log.txt","426.56"
"work34.md","Success","0","C:\src\incursa\quic-dotnet\specs\codex_work\","C:\src\incursa\quic-dotnet","C:\src\incursa\quic-dotnet\specs\codex_work\results\work34.output.md","C:\src\incursa\quic-dotnet\specs\codex_work\logs\work34.log.txt","164.2"
"work35.md","Success","0","C:\src\incursa\quic-dotnet\specs\codex_work\","C:\src\incursa\quic-dotnet","C:\src\incursa\quic-dotnet\specs\codex_work\results\work35.output.md","C:\src\incursa\quic-dotnet\specs\codex_work\logs\work35.log.txt","242.74"
"work36.md","Success","0","C:\src\incursa\quic-dotnet\specs\codex_work\","C:\src\incursa\quic-dotnet","C:\src\incursa\quic-dotnet\specs\codex_work\results\work36.output.md","C:\src\incursa\quic-dotnet\specs\codex_work\logs\work36.log.txt","386.54"
